,idx,mode_true,purpose_true,replaced_true,mode_pred,purpose_pred,replaced_pred,distance,user_id,top_pred,source,end_ts,end_fmt_time,end_loc,raw_trip,start_ts,start_fmt_time,start_loc,duration,start_place,end_place,cleaned_trip,inferred_labels,inferred_trip,expectation,confidence_threshold,expected_trip,user_input,start_local_dt_year,start_local_dt_month,start_local_dt_day,start_local_dt_hour,start_local_dt_minute,start_local_dt_second,start_local_dt_weekday,start_local_dt_timezone,end_local_dt_year,end_local_dt_month,end_local_dt_day,end_local_dt_hour,end_local_dt_minute,end_local_dt_second,end_local_dt_weekday,end_local_dt_timezone,_id,metadata_write_ts,mode_confirm,purpose_confirm,replaced_mode
1665,,,,,,,,5398.873283227432,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1627160120.579,2021-07-24T14:55:20.579000-06:00,"{'type': 'Point', 'coordinates': [-107.8746789, 37.2503453]}",60fc97f04dc0e6388266776d,1627159020.4184194,2021-07-24T14:37:00.418419-06:00,"{'type': 'Point', 'coordinates': [-107.8738889, 37.2942517]}",1100.1605806350708,60fc89e18fec375952e5226f,60fc97f14dc0e6388266779d,60fc97f04dc0e63882667774,"[{'labels': {'mode_confirm': 'shared_ride', 'purpose_confirm': 'work', 'replaced_mode': 'no_travel'}, 'p': 0.8969}]",612089eccb13df1d4d22d123,{'to_label': False},0.25,612089efcb13df1d4d22d2ec,"{'mode_confirm': 'shared_ride', 'purpose_confirm': 'work', 'replaced_mode': 'no_travel'}",2021.0,7.0,24.0,14.0,37.0,0.0,5.0,America/Denver,2021.0,7.0,24.0,14.0,55.0,20.0,5.0,America/Denver,612089f3cb13df1d4d22d3b7,1629522415.1860213,shared_ride,work,no_travel
1666,,,,,,,,1142.4425701668224,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1634588716.567,2021-10-18T14:25:16.567000-06:00,"{'type': 'Point', 'coordinates': [-107.8746826, 37.2505786]}",616de3f19dafc40ef70411c9,1634587872.948,2021-10-18T14:11:12.948000-06:00,"{'type': 'Point', 'coordinates': [-107.8723305, 37.2443738]}",843.6189999580383,616de3f49dafc40ef704121d,616de3f49dafc40ef704121e,616de3f49dafc40ef70411fa,"[{'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'at_work', 'replaced_mode': 'no_travel'}, 'p': 0.884099533203}, {'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'exercise', 'replaced_mode': 'no_travel'}, 'p': 0.098233281467}]",616de4539dafc40ef704122d,{'to_label': True},0.25,616de4539dafc40ef7041233,"{'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'at_work', 'replaced_mode': 'no_travel'}",2021.0,10.0,18.0,14.0,11.0,12.0,0.0,America/Denver,2021.0,10.0,18.0,14.0,25.0,16.0,0.0,America/Denver,616de4549dafc40ef7041237,1634591827.7768903,pilot_ebike,at_work,no_travel
1667,,,,,,,,209.33836759929852,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1627330062.0,2021-07-26T14:07:42-06:00,"{'type': 'Point', 'coordinates': [-107.8744733, 37.2505363]}",60ff1ed867165357d94c073c,1627329929.1861682,2021-07-26T14:05:29.186168-06:00,"{'type': 'Point', 'coordinates': [-107.8746706, 37.2505477]}",132.81383180618286,60ff1ed967165357d94c07b4,60ff1ed967165357d94c07b5,60ff1ed967165357d94c07a7,"[{'labels': {'mode_confirm': 'drove_alone', 'purpose_confirm': 'shopping', 'replaced_mode': 'walk'}, 'p': 0.2312075}, {'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'work', 'replaced_mode': 'no_travel'}, 'p': 0.2312075}, {'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'work', 'replaced_mode': 'walk'}, 'p': 0.2312075}, {'labels': {'mode_confirm': 'skateboard', 'purpose_confirm': 'exercise', 'replaced_mode': 'no_travel'}, 'p': 0.2312075}]",612089eccb13df1d4d22d141,{'to_label': True},0.25,612089efcb13df1d4d22d2f6,"{'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'work', 'replaced_mode': 'no_travel'}",2021.0,7.0,26.0,14.0,5.0,29.0,0.0,America/Denver,2021.0,7.0,26.0,14.0,7.0,42.0,0.0,America/Denver,612089f3cb13df1d4d22d3c1,1629522415.2045298,pilot_ebike,work,no_travel
1668,,,,,,,,7157.281068678601,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1632286391.313,2021-09-21T22:53:11.313000-06:00,"{'type': 'Point', 'coordinates': [-107.877133, 37.2852274]}",614ac9f4a0673f8b2cc21e9e,1632285795.6281483,2021-09-21T22:43:15.628148-06:00,"{'type': 'Point', 'coordinates': [-107.8662218, 37.2308244]}",595.6848516464233,614abbe5cf9aa5d2c5048b7a,614ac9f8a0673f8b2cc21ed8,614ac9f7a0673f8b2cc21ea9,"[{'labels': {'mode_confirm': 'shared_ride', 'purpose_confirm': 'shopping', 'replaced_mode': 'no_travel'}, 'p': 0.6387111333333333}, {'labels': {'mode_confirm': 'shared_ride', 'purpose_confirm': 'work', 'replaced_mode': 'no_travel'}, 'p': 0.31935556666666665}]",614aca1da0673f8b2cc21ee0,{'to_label': True},0.25,614aca1da0673f8b2cc21ee7,"{'mode_confirm': 'shared_ride', 'purpose_confirm': 'shopping', 'replaced_mode': 'no_travel'}",2021.0,9.0,21.0,22.0,43.0,15.0,1.0,America/Denver,2021.0,9.0,21.0,22.0,53.0,11.0,1.0,America/Denver,614aca1da0673f8b2cc21eea,1632291357.6072087,shared_ride,shopping,no_travel
1669,,,,,,,,1084.2044124636534,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1633293838.441,2021-10-03T14:43:58.441000-06:00,"{'type': 'Point', 'coordinates': [-107.8839891, 37.2740039]}",615a1d790224a7697124fd83,1633293651.438,2021-10-03T14:40:51.438000-06:00,"{'type': 'Point', 'coordinates': [-107.8777073, 37.2819054]}",187.00300002098083,615a1d7c0224a7697124fdb7,615a1d7c0224a7697124fdb8,615a1d7c0224a7697124fd91,[],615a1d840224a7697124fdc0,{'to_label': True},0.25,615a1d840224a7697124fdc7,"{'mode_confirm': 'skateboard', 'purpose_confirm': 'exercise', 'replaced_mode': 'no_travel'}",2021.0,10.0,3.0,14.0,40.0,51.0,6.0,America/Denver,2021.0,10.0,3.0,14.0,43.0,58.0,6.0,America/Denver,615a1d840224a7697124fdca,1633295748.416904,skateboard,exercise,no_travel
1670,,,,,,,,647.0589396940826,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1657944477.073,2022-07-15T22:07:57.073000-06:00,"{'type': 'Point', 'coordinates': [-107.8767557, 37.2837659]}",62d23b99f798290805edb5dd,1657944279.571,2022-07-15T22:04:39.571000-06:00,"{'type': 'Point', 'coordinates': [-107.8796368, 37.2784462]}",197.5019998550415,62d23b9df798290805edb5f1,62d23b9df798290805edb5f2,62d23b9bf798290805edb5e7,[],62d23ba2f798290805edb5f7,{'to_label': True},0.25,62d23ba3f798290805edb5fb,"{'mode_confirm': 'shared_ride', 'purpose_confirm': 'shopping', 'replaced_mode': 'no_travel'}",2022.0,7.0,15.0,22.0,4.0,39.0,4.0,America/Denver,2022.0,7.0,15.0,22.0,7.0,57.0,4.0,America/Denver,62d23ba4f798290805edb5fd,1657944995.572486,shared_ride,shopping,no_travel
1671,,,,,,,,7668.41543324864,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1658066271.318,2022-07-17T07:57:51.318000-06:00,"{'type': 'Point', 'coordinates': [-107.8746727, 37.2506806]}",62d419b51e3b8ce2c710e119,1658065547.0,2022-07-17T07:45:47-06:00,"{'type': 'Point', 'coordinates': [-107.8586367, 37.3109]}",724.3180000782013,62d419ba1e3b8ce2c710e13f,62d419ba1e3b8ce2c710e140,62d419b91e3b8ce2c710e123,[],62d419be1e3b8ce2c710e145,{'to_label': True},0.25,62d419bf1e3b8ce2c710e149,"{'mode_confirm': 'shared_ride', 'purpose_confirm': 'shopping', 'replaced_mode': 'no_travel'}",2022.0,7.0,17.0,7.0,45.0,47.0,6.0,America/Denver,2022.0,7.0,17.0,7.0,57.0,51.0,6.0,America/Denver,62d419c01e3b8ce2c710e14b,1658067391.0081077,shared_ride,shopping,no_travel
1672,,,,,,,,7189.331780649634,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1631423645.673,2021-09-11T23:14:05.673000-06:00,"{'type': 'Point', 'coordinates': [-107.8771898, 37.2852631]}",613d9b006264da63a43d2a48,1631423058.3264303,2021-09-11T23:04:18.326430-06:00,"{'type': 'Point', 'coordinates': [-107.8660233, 37.2307917]}",587.346569776535,613d8ce7ada6ee05bc057cbf,613d9b026264da63a43d2a67,613d9b016264da63a43d2a4f,"[{'labels': {'mode_confirm': 'shared_ride', 'purpose_confirm': 'shopping', 'replaced_mode': 'no_travel'}, 'p': 0.5666286}, {'labels': {'mode_confirm': 'shared_ride', 'purpose_confirm': 'work', 'replaced_mode': 'no_travel'}, 'p': 0.37775240000000004}]",613d9b046264da63a43d2a6c,{'to_label': True},0.25,613d9b046264da63a43d2a70,"{'mode_confirm': 'shared_ride', 'purpose_confirm': 'shopping', 'replaced_mode': 'no_travel'}",2021.0,9.0,11.0,23.0,4.0,18.0,5.0,America/Denver,2021.0,9.0,11.0,23.0,14.0,5.0,5.0,America/Denver,613d9b056264da63a43d2a72,1631427332.9691694,shared_ride,shopping,no_travel
1673,,,,,,,,5086.977988558046,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1638074258.441,2021-11-27T21:37:38.441000-07:00,"{'type': 'Point', 'coordinates': [-107.8506851, 37.322273]}",61a31e88c615127075a297bb,1638073340.326,2021-11-27T21:22:20.326000-07:00,"{'type': 'Point', 'coordinates': [-107.877578, 37.2834292]}",918.1150000095367,61a310780e45c05310cea599,61a31e8bc615127075a297e5,61a31e8ac615127075a297c2,"[{'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'exercise', 'replaced_mode': 'skateboard'}, 'p': 0.0395985439826415}, {'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'home', 'replaced_mode': 'no_travel'}, 'p': 0.633576703722264}, {'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'home', 'replaced_mode': 'skateboard'}, 'p': 0.0395985439826415}, {'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'work', 'replaced_mode': 'no_travel'}, 'p': 0.0395985439826415}, {'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'work', 'replaced_mode': 'walk'}, 'p': 0.0395985439826415}, {'labels': {'mode_confirm': 'shared_ride', 'purpose_confirm': 'home', 'replaced_mode': 'no_travel'}, 'p': 0.158394175930566}, {'labels': {'mode_confirm': 'shared_ride', 'purpose_confirm': 'work', 'replaced_mode': 'walk'}, 'p': 0.0395985439826415}]",61a31e8fc615127075a297ea,{'to_label': True},0.25,61a31e90c615127075a297ee,"{'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'home', 'replaced_mode': 'no_travel'}",2021.0,11.0,27.0,21.0,22.0,20.0,5.0,America/Denver,2021.0,11.0,27.0,21.0,37.0,38.0,5.0,America/Denver,61a31e90c615127075a297f0,1638080144.020524,pilot_ebike,home,no_travel
1674,,,,,,,,2533.1137467980693,e192b8a0-0b6c-4222-9685-1c93785deaf7,validation_dataset,DwellSegmentationTimeFilter,1658718128.0,2022-07-24T21:02:08-06:00,"{'type': 'Point', 'coordinates': [-107.8511183, 37.3227967]}",62de0b1643d6fa816e4ec723,1658717389.509,2022-07-24T20:49:49.509000-06:00,"{'type': 'Point', 'coordinates': [-107.868148, 37.3049415]}",738.4909999370575,62de0b1c43d6fa816e4ec7ac,62de0b1c43d6fa816e4ec7ad,62de0b1c43d6fa816e4ec78d,"[{'labels': {'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'home', 'replaced_mode': 'skateboard'}, 'p': 0.8294114485714286}, {'labels': {'mode_confirm': 'shared_ride', 'purpose_confirm': 'work', 'replaced_mode': 'no_travel'}, 'p': 0.13823524142857144}]",62de0b2143d6fa816e4ec7c1,{'to_label': True},0.25,62de0b2243d6fa816e4ec7c8,"{'mode_confirm': 'pilot_ebike', 'purpose_confirm': 'home', 'replaced_mode': 'skateboard'}",2022.0,7.0,24.0,20.0,49.0,49.0,6.0,America/Denver,2022.0,7.0,24.0,21.0,2.0,8.0,6.0,America/Denver,62de0b2443d6fa816e4ec7cd,1658719010.0718074,pilot_ebike,home,skateboard
